GDP,HOUS_SAV,GDP_ID,TAX_REV,TAX_INC,SOC_CON,POP_TER,COST_STARTUP,ADJ_NET_INC,UNEMPLOY,TEA,TEAF
20828.35733,5.611221721,0.698018754,31.339,5.222,8.46,12.695857,12,13048.44975,6.264945,6.61,0.39
20356.72156,6.21946348,0.721834883,31.247,5.229,8.233,12.461238,12,10638.12488,4.993313,6.61,0.39
19533.29592,6.383318162,0.764818032,30.821,5.426,8.177,11.754972,12,9653.228151,4.008832,6.61,0.39
90140.76426,5.778900544,1.146469807,22.317,6.99,3.785,56.174488,0.1,37988.28351,4.951043,12.41,0.57
84575.4373,5.778900544,1.146469807,22.317,6.99,3.785,56.174488,0.1,37988.28351,5.738596,9.64,0.63
78211.41046,5.968730044,1.168918474,22.521,7.026,3.85,53.473541,0.1,37988.28351,6.71373,8.93,0.54
72017.75524,3.249227624,1.168918474,23.362,7.366,3.945,52.004166,0.2,37043.51184,8.37511,10.88,0.5
69147.02906,3.87467295,1.182669287,23.078,7.292,3.888,52.004166,0.2,34295.07959,9.909575,9.33,0.44
51125.9233,3.284165703,1.523067224,28.49,9.099,4.933,50.768299,0.2,38773.82086,11.85948,6.53,0.48
47936.3887,4.815053022,1.565802252,28.269,9.019,5.02,51.073551,0.3,35990.78919,13.73561,9.25,0.53
46277.63171,6.546126452,1.561192197,27.574,8.933,4.851,49.205013,0.3,32476.6804,15.44939,6.15,0.48
44870.46334,3.806038036,1.560584767,27.449,8.536,5.297,47.42931,0.4,34894.67632,15.35064,7.25,0.41
43331.07157,7.679519528,1.591527086,27.014,8.103,5.033,48.32497,0.4,33811.35879,14.53227,6.76,0.41
41618.62664,9.594441059,1.608199395,27.336,8.317,5.183,47.530376,0.3,36047.54943,12.60812,7.59,0.36
44219.77588,4.777923812,1.387662099,28.462,8.556,4.437,45.064747,0.3,44588.3435,6.773265,7.59,0.36
46743.13639,-0.970007016,1.233252903,30.39,9.192,4.121,44.087189,0.3,44606.07975,4.979443,8.22,0.56
44236.51443,-0.68874462,1.198364926,30.835,9.108,3.866,42.462822,0.3,39792.3285,4.411824,7.35,0.4
40437.08088,1.53738077,1.19280564,29.403,8.56,3.83,40.673939,5.3,37224.47968,4.338238,9.83,0.39
38697.38473,0.93721565,1.17865714,28.947,8.495,3.815,39.63393,10.3,35048.57372,4.538512,7.7,0.48
36234.03884,0.214728362,1.124517077,27.869,7.913,3.681,37.062382,10.4,30588.98264,4.737063,8.1,0.29
